CODE,NAME
111,LARCENY PURSE SNATCH - NO FORCE 
112,LARCENY THEFT OF MV PARTS & ACCESSORIES
113,INCEST
114,LICENSE PREMISE VIOLATION
121,LIQUOR - DRINKING IN PUBLIC
122,LIQUOR LAW VIOLATION
123,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY
124,M/V ACCIDENT - OTHER
125,M/V ACCIDENT - OTHER CITY VEHICLE
211,M/V ACCIDENT - PERSONAL INJURY
212,M/V ACCIDENT - POLICE VEHICLE
213,M/V ACCIDENT - PROPERTY  DAMAGE
222,M/V PLATES - LOST
223,MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE
224,MANSLAUGHTER - VEHICLE - NEGLIGENCE
230,MISSING PERSON
231,MISSING PERSON - LOCATED
232,MISSING PERSON - NOT REPORTED - LOCATED
233,"MURDER, NON-NEGLIGIENT MANSLAUGHTER"
234,NOISY PARTY/RADIO-ARREST
235,OBSCENE MATERIALS - PORNOGRAPHY
236,OBSCENE PHONE CALLS
237,OPEN & GROSS LEWDNESS
241,VIOL. OF RESTRAINING ORDER W NO ARREST
242,OPERATING UNDER THE INFLUENCE DRUGS
243,OTHER OFFENSE
244,VAL - VIOLATION OF AUTO LAW - OTHER
251,FRAUD - WIRE
252,POSSESSION OF BURGLARIOUS TOOLS
253,PRISONER ATTEMPT TO RESCUE
254,PRISONER ESCAPE / ESCAPE & RECAPTURE
261,PRISONER - SUICIDE / SUICIDE ATTEMPT
271,PROPERTY - ACCIDENTAL DAMAGE
301,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING
302,PROPERTY - LOST
303,PROPERTY - LOST THEN LOCATED
304,PROPERTY - MISSING
305,PROPERTY - STOLEN THEN RECOVERED
306,PROSTITUTION - ASSISTING OR PROMOTING
307,PROSTITUTION - COMMON NIGHTWALKER
308,PROSTITUTION
309,PROSTITUTION - SOLICITING
310,RAPE - ATTEMPT - SODOMY
311,RAPE - COMPLETE - FONDLING
312,RAPE - ATTEMPT - FONDLING
313,RAPE - COMPLETE - FORCIBLE
314,RAPE - ATTEMPT - FORCIBLE
315,RAPE - ATTEMPT - SEXUAL ASSAULT W/ OBJECT
316,RAPE - ATTEMPT - OTHER
317,RAPE - COMPLETE - SODOMY
318,RAPE - COMPLETE - SEXUAL ASSAULT W/ OBJECT
319,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON)
320,REPORT AFFECTING OTHER DEPTS.
321,ROBBERY - STREET
322,ROBBERY - COMMERCIAL
323,ROBBERY - BANK
324,ROBBERY - OTHER
333,ROBBERY - HOME INVASION
334,ROBBERY - CAR JACKING
335,PROTECTIVE CUSTODY / SAFEKEEPING
336,SERVICE TO OTHER PD INSIDE OF MA.
337,SERVICE TO OTHER PD OUTSIDE OF MA.
338,SEXUAL ASSAULT INVESTIGATION
339,SICK/INJURED/MEDICAL - PERSON
340,ASSAULT - SIMPLE
341,STALKING
342,STATUTORY RAPE
343,THREATS TO DO BODILY HARM
344,TOWED MOTOR VEHICLE
345,TRESPASSING
346,TRUANCY / RUNAWAY
347,VAL - MISCELLANEOUS
348,VAL - OPERATING AFTER REV/SUSP.
349,VAL - OPERATING UNREG/UNINS  CAR
350,VAL - OPERATING WITHOUT LICENSE
351,VAL - OPERATING W/O AUTHORIZATION LAWFUL
352,GRAFFITI
353,VERBAL DISPUTE
354,VIOLATION - CITY ORDINANCE
355,VIOLATION - HAWKER AND PEDDLER
356,VIOL. OF RESTRAINING ORDER W ARREST
357,VIOLATION - CITY ORDINANCE CONSTRUCTION PERMIT
358,WARRANT ARREST
359,KIDNAPPING - ENTICING OR ATTEMPTED
360,ANIMAL ABUSE
361,ANIMAL CONTROL - DOG BITES - ETC.
362,ASSAULT SIMPLE - BATTERY
363,ASSAULT - AGGRAVATED
364,ASSAULT - AGGRAVATED - BATTERY
371,AUTO THEFT
373,AUTO THEFT - LEASED/RENTED VEHICLE
374,AUTO THEFT - MOTORCYCLE / SCOOTER
375,BURGLARY - COMMERICAL - ATTEMPT
376,BURGLARY - COMMERICAL - FORCE
377,BURGLARY - OTHER - NO FORCE
378,BURGLARY - OTHER - ATTEMPT
379,BURGLARY - COMMERICAL - NO FORCE
